Title,SubTitle,Abstract,InsertedDate
Subscribe to the SPIEGEL International Newsletter - SPIEGEL ONLINE - International,International,"Subscribe to SPIEGEL International's twice-weekly newsletter and receive the best features, background, analysis, opinion, investigative reports, longform journalism, in-depth interviews and essays on German, European and international issues from...",2019-10-14 10:25:14.035836
Far-Right Terrorism: Deadly Attack Exposes Lapses in German Security Apparatus - SPIEGEL ONLINE - International,"International, Germany, Jewish Life in Germany, Jews in Germany, Anti-Semitism","The 27-year-old German man who went on a shooting spree during the Yom Kippur holiday was out to kill Jews. He apparently self-radicalized in the darkest corners of the internet, beyond the reach of police or intelligence officials, who are woefully unprepared for this new breed of terrorism. By DER SPIEGEL Staff",2019-10-14 10:25:14.921887
Far-Right Terrorism: Deadly Attack Exposes Lapses in German Security Apparatus - SPIEGEL ONLINE - International,"International, Germany, Jewish Life in Germany, Jews in Germany, Anti-Semitism","The 27-year-old German man who went on a shooting spree during the Yom Kippur holiday was out to kill Jews. He apparently self-radicalized in the darkest corners of the internet, beyond the reach of police or intelligence officials, who are woefully unprepared for this new breed of terrorism. By DER SPIEGEL Staff",2019-10-14 10:25:16.108955
Far-Right Terrorism: Deadly Attack Exposes Lapses in German Security Apparatus - SPIEGEL ONLINE - International,"International, Germany, Jewish Life in Germany, Jews in Germany, Anti-Semitism","The 27-year-old German man who went on a shooting spree during the Yom Kippur holiday was out to kill Jews. He apparently self-radicalized in the darkest corners of the internet, beyond the reach of police or intelligence officials, who are woefully unprepared for this new breed of terrorism. By DER SPIEGEL Staff",2019-10-14 10:25:17.297023
"Opinion: This Isn't a Drill, It's the Catastrophe - SPIEGEL ONLINE - International","International, Germany, Anti-Semitism",Germany is a country where hatred for those who are perceived to be different slides effortlessly from a tick on the election ballot to genocide. It's not enough to install a few security cameras -- it's time for an antifascist consensus.,2019-10-14 10:25:18.273079
"Opinion: This Isn't a Drill, It's the Catastrophe - SPIEGEL ONLINE - International","International, Germany, Anti-Semitism",Germany is a country where hatred for those who are perceived to be different slides effortlessly from a tick on the election ballot to genocide. It's not enough to install a few security cameras -- it's time for an antifascist consensus.,2019-10-14 10:25:19.176130
"Opinion: This Isn't a Drill, It's the Catastrophe - SPIEGEL ONLINE - International","International, Germany, Anti-Semitism",Germany is a country where hatred for those who are perceived to be different slides effortlessly from a tick on the election ballot to genocide. It's not enough to install a few security cameras -- it's time for an antifascist consensus.,2019-10-14 10:25:20.106183
"Opinion: This Isn't a Drill, It's the Catastrophe - SPIEGEL ONLINE - International","International, Germany, Anti-Semitism",Germany is a country where hatred for those who are perceived to be different slides effortlessly from a tick on the election ballot to genocide. It's not enough to install a few security cameras -- it's time for an antifascist consensus.,2019-10-14 10:25:21.103240
"Opinion: This Isn't a Drill, It's the Catastrophe - SPIEGEL ONLINE - International","International, Germany, Anti-Semitism",Germany is a country where hatred for those who are perceived to be different slides effortlessly from a tick on the election ballot to genocide. It's not enough to install a few security cameras -- it's time for an antifascist consensus.,2019-10-14 10:25:22.103298
The PiS Dynasty: Kaczynski Party in Control Ahead of Polish Vote - SPIEGEL ONLINE - International,"International, Europe, Poland, European Union, Right-Wing Populism","The right-wing party PiS is heading for another election victory in Poland. To ensure as large a majority as possible, Jaroslaw Kaczynski is seeking to target more moderate voters, but he hasn't forgotten his party's core nationalist supporters.",2019-10-14 10:25:23.431374
